Language,Trial,Number of Digits
BAD_MATLAB,1,408
BAD_MATLAB,2,405
BAD_MATLAB,3,420
BAD_MATLAB,4,412
BAD_MATLAB,5,416
BAD_MATLAB,6,402
BAD_MATLAB,7,417
BAD_MATLAB,8,405
BAD_MATLAB,9,421
BAD_MATLAB,10,422
BAD_MATLAB,11,415
BAD_MATLAB,12,400
BAD_MATLAB,13,419
BAD_MATLAB,14,421
BAD_MATLAB,15,421
BAD_MATLAB,16,423
BAD_MATLAB,17,420
BAD_MATLAB,18,421
BAD_MATLAB,19,421
BAD_MATLAB,20,422
BAD_MATLAB,21,421
BAD_MATLAB,22,423
BAD_MATLAB,23,423
BAD_MATLAB,24,422
BAD_MATLAB,25,425
BAD_MATLAB,26,424
BAD_MATLAB,27,421
BAD_MATLAB,28,423
BAD_MATLAB,29,423
BAD_MATLAB,30,425
BAD_MATLAB,31,423
BAD_MATLAB,32,421
BAD_MATLAB,33,423
BAD_MATLAB,34,424
BAD_MATLAB,35,423
BAD_MATLAB,36,425
BAD_MATLAB,37,424
BAD_MATLAB,38,426
BAD_MATLAB,39,427
BAD_MATLAB,40,421
BAD_MATLAB,41,422
BAD_MATLAB,42,423
BAD_MATLAB,43,421
BAD_MATLAB,44,420
BAD_MATLAB,45,425
BAD_MATLAB,46,421
BAD_MATLAB,47,422
BAD_MATLAB,48,423
BAD_MATLAB,49,422
BAD_MATLAB,50,427
BAD_MATLAB,51,421
BAD_MATLAB,52,424
BAD_MATLAB,53,425
BAD_MATLAB,54,424
BAD_MATLAB,55,424
BAD_MATLAB,56,417
BAD_MATLAB,57,414
BAD_MATLAB,58,423
BAD_MATLAB,59,426
BAD_MATLAB,60,423
BAD_MATLAB,61,425
BAD_MATLAB,62,428
BAD_MATLAB,63,422
BAD_MATLAB,64,419
BAD_MATLAB,65,421
BAD_MATLAB,66,422
BAD_MATLAB,67,423
BAD_MATLAB,68,421
BAD_MATLAB,69,421
BAD_MATLAB,70,425
BAD_MATLAB,71,416
BAD_MATLAB,72,426
BAD_MATLAB,73,426
BAD_MATLAB,74,425
BAD_MATLAB,75,425
BAD_MATLAB,76,425
BAD_MATLAB,77,427
BAD_MATLAB,78,425
BAD_MATLAB,79,421
BAD_MATLAB,80,419
BAD_MATLAB,81,424
BAD_MATLAB,82,420
BAD_MATLAB,83,426
BAD_MATLAB,84,427
BAD_MATLAB,85,426
BAD_MATLAB,86,424
BAD_MATLAB,87,428
BAD_MATLAB,88,424
BAD_MATLAB,89,424
BAD_MATLAB,90,424
BAD_MATLAB,91,426
BAD_MATLAB,92,424
BAD_MATLAB,93,424
BAD_MATLAB,94,420
BAD_MATLAB,95,425
BAD_MATLAB,96,422
BAD_MATLAB,97,422
BAD_MATLAB,98,424
BAD_MATLAB,99,421
BAD_MATLAB,100,421
