Language,Trial,Number of Digits
C,1,8679
C,2,8866
C,3,8871
C,4,8871
C,5,8792
C,6,8801
C,7,8773
C,8,8865
C,9,8852
C,10,8863
C,11,8852
C,12,8837
C,13,8856
C,14,8864
C,15,8856
C,16,8871
C,17,8869
C,18,8857
C,19,8859
C,20,8871
C,21,9294
C,22,9301
C,23,9296
C,24,8868
C,25,9295
C,26,9297
C,27,9299
C,28,9299
C,29,8876
C,30,9296
C,31,9301
C,32,9294
C,33,9294
C,34,9294
C,35,8864
C,36,9299
C,37,8177
C,38,8868
C,39,9299
C,40,9299
C,41,9299
C,42,9294
C,43,9301
C,44,8874
C,45,9298
C,46,9296
C,47,9295
C,48,8868
C,49,8793
C,50,8836
C,51,8839
C,52,8834
C,53,9305
C,54,9301
C,55,8874
C,56,8866
C,57,8875
C,58,8858
C,59,9294
C,60,8867
C,61,8865
C,62,8859
C,63,8861
C,64,8869
C,65,9294
C,66,8837
C,67,8857
C,68,8866
C,69,9296
C,70,9306
C,71,9299
C,72,8860
C,73,8832
C,74,8835
C,75,8838
C,76,8829
C,77,9306
C,78,9301
C,79,8854
C,80,9296
C,81,9297
C,82,8867
C,83,9298
C,84,8865
C,85,9317
C,86,9294
C,87,8853
C,88,8868
C,89,8875
C,90,9317
C,91,9308
C,92,9298
C,93,9294
C,94,9297
C,95,8873
C,96,8843
C,97,9303
C,98,8874
C,99,8871
C,100,8868
