Language,Trial,Number of Digits
C++,1,7645
C++,2,7654
C++,3,7541
C++,4,7643
C++,5,7653
C++,6,7645
C++,7,7623
C++,8,7617
C++,9,7640
C++,10,7655
C++,11,7609
C++,12,7643
C++,13,7662
C++,14,7664
C++,15,7668
C++,16,7664
C++,17,7641
C++,18,7624
C++,19,7637
C++,20,7674
C++,21,7692
C++,22,7672
C++,23,7668
C++,24,7664
C++,25,7664
C++,26,7663
C++,27,7663
C++,28,7663
C++,29,7672
C++,30,7681
C++,31,7673
C++,32,7693
C++,33,7686
C++,34,7689
C++,35,7686
C++,36,7692
C++,37,7701
C++,38,7688
C++,39,7692
C++,40,7692
C++,41,7690
C++,42,7696
C++,43,7709
C++,44,7696
C++,45,7699
C++,46,7682
C++,47,7678
C++,48,7696
C++,49,7714
C++,50,7690
C++,51,7688
C++,52,7694
C++,53,7706
C++,54,7673
C++,55,7648
C++,56,7632
C++,57,7687
C++,58,7692
C++,59,7671
C++,60,7673
C++,61,7690
C++,62,7692
C++,63,7651
C++,64,7617
C++,65,7648
C++,66,7663
C++,67,7671
C++,68,7673
C++,69,7666
C++,70,7676
C++,71,7674
C++,72,7684
C++,73,7684
C++,74,7657
C++,75,7616
C++,76,7647
C++,77,7666
C++,78,7670
C++,79,7654
C++,80,7715
C++,81,7700
C++,82,7687
C++,83,7682
C++,84,7683
C++,85,7689
C++,86,7680
C++,87,7683
C++,88,7683
C++,89,7683
C++,90,7684
C++,91,7686
C++,92,7679
C++,93,7685
C++,94,7683
C++,95,7682
C++,96,7704
C++,97,7716
C++,98,7720
C++,99,7691
C++,100,7717
