Language,Trial,Number of Digits
Java,1,6763
Java,2,6970
Java,3,7018
Java,4,7026
Java,5,7039
Java,6,7035
Java,7,7012
Java,8,6999
Java,9,7018
Java,10,7023
Java,11,7045
Java,12,7047
Java,13,7047
Java,14,7037
Java,15,7013
Java,16,6998
Java,17,7035
Java,18,7040
Java,19,7048
Java,20,7043
Java,21,7055
Java,22,7050
Java,23,7033
Java,24,7030
Java,25,7037
Java,26,7020
Java,27,7051
Java,28,7055
Java,29,7042
Java,30,7040
Java,31,7048
Java,32,7026
Java,33,7030
Java,34,6993
Java,35,7044
Java,36,7054
Java,37,7054
Java,38,7051
Java,39,7055
Java,40,7053
Java,41,7058
Java,42,7058
Java,43,7042
Java,44,7027
Java,45,7018
Java,46,7035
Java,47,7035
Java,48,7025
Java,49,7022
Java,50,7039
Java,51,7033
Java,52,7028
Java,53,7011
Java,54,7016
Java,55,7014
Java,56,7013
Java,57,7029
Java,58,7040
Java,59,7034
Java,60,7027
Java,61,6986
Java,62,6994
Java,63,6999
Java,64,6988
Java,65,7041
Java,66,7046
Java,67,7019
Java,68,7010
Java,69,7024
Java,70,7033
Java,71,7049
Java,72,7046
Java,73,7029
Java,74,7019
Java,75,7014
Java,76,7030
Java,77,7032
Java,78,7029
Java,79,7037
Java,80,7031
Java,81,7019
Java,82,7018
Java,83,7022
Java,84,7016
Java,85,7015
Java,86,7018
Java,87,7013
Java,88,7021
Java,89,7019
Java,90,7031
Java,91,7002
Java,92,7020
Java,93,7021
Java,94,7022
Java,95,7027
Java,96,6985
Java,97,7013
Java,98,7011
Java,99,7021
Java,100,7048
