Language,Trial,Number of Digits
JavaScript,1,4062
JavaScript,2,4044
JavaScript,3,4062
JavaScript,4,4066
JavaScript,5,4062
JavaScript,6,4084
JavaScript,7,4086
JavaScript,8,4089
JavaScript,9,4083
JavaScript,10,4086
JavaScript,11,4084
JavaScript,12,4089
JavaScript,13,4088
JavaScript,14,4091
JavaScript,15,4081
JavaScript,16,4088
JavaScript,17,4089
JavaScript,18,4091
JavaScript,19,4083
JavaScript,20,4088
JavaScript,21,4080
JavaScript,22,4097
JavaScript,23,4088
JavaScript,24,4095
JavaScript,25,4083
JavaScript,26,4095
JavaScript,27,4091
JavaScript,28,4094
JavaScript,29,4087
JavaScript,30,4093
JavaScript,31,4088
JavaScript,32,4092
JavaScript,33,4090
JavaScript,34,4092
JavaScript,35,4090
JavaScript,36,4092
JavaScript,37,4099
JavaScript,38,4098
JavaScript,39,4090
JavaScript,40,4085
JavaScript,41,4088
JavaScript,42,4095
JavaScript,43,4066
JavaScript,44,4091
JavaScript,45,4098
JavaScript,46,4098
JavaScript,47,4096
JavaScript,48,4097
JavaScript,49,4102
JavaScript,50,4098
JavaScript,51,4084
JavaScript,52,4098
JavaScript,53,4093
JavaScript,54,4097
JavaScript,55,4094
JavaScript,56,4101
JavaScript,57,4103
JavaScript,58,4103
JavaScript,59,4099
JavaScript,60,4098
JavaScript,61,4097
JavaScript,62,4099
JavaScript,63,4110
JavaScript,64,4097
JavaScript,65,4100
JavaScript,66,4100
JavaScript,67,4105
JavaScript,68,4100
JavaScript,69,4103
JavaScript,70,4098
JavaScript,71,4102
JavaScript,72,4099
JavaScript,73,4103
JavaScript,74,4100
JavaScript,75,4102
JavaScript,76,4098
JavaScript,77,4101
JavaScript,78,4102
JavaScript,79,4107
JavaScript,80,4099
JavaScript,81,4094
JavaScript,82,4097
JavaScript,83,4098
JavaScript,84,4104
JavaScript,85,4099
JavaScript,86,4098
JavaScript,87,4105
JavaScript,88,4101
JavaScript,89,4105
JavaScript,90,4100
JavaScript,91,4106
JavaScript,92,4105
JavaScript,93,4108
JavaScript,94,4102
JavaScript,95,4108
JavaScript,96,4099
JavaScript,97,4112
JavaScript,98,4107
JavaScript,99,4106
JavaScript,100,4097
