Language,Trial,Number of Digits
BAD_MATLAB,1,408
BAD_MATLAB,2,405
BAD_MATLAB,3,420
BAD_MATLAB,4,412
BAD_MATLAB,5,416
BAD_MATLAB,6,402
BAD_MATLAB,7,417
BAD_MATLAB,8,405
BAD_MATLAB,9,421
BAD_MATLAB,10,422
BAD_MATLAB,11,415
BAD_MATLAB,12,400
BAD_MATLAB,13,419
BAD_MATLAB,14,421
BAD_MATLAB,15,421
BAD_MATLAB,16,423
BAD_MATLAB,17,420
BAD_MATLAB,18,421
BAD_MATLAB,19,421
BAD_MATLAB,20,422
BAD_MATLAB,21,421
BAD_MATLAB,22,423
BAD_MATLAB,23,423
BAD_MATLAB,24,422
BAD_MATLAB,25,425
BAD_MATLAB,26,424
BAD_MATLAB,27,421
BAD_MATLAB,28,423
BAD_MATLAB,29,423
BAD_MATLAB,30,425
BAD_MATLAB,31,423
BAD_MATLAB,32,421
BAD_MATLAB,33,423
BAD_MATLAB,34,424
BAD_MATLAB,35,423
BAD_MATLAB,36,425
BAD_MATLAB,37,424
BAD_MATLAB,38,426
BAD_MATLAB,39,427
BAD_MATLAB,40,421
BAD_MATLAB,41,422
BAD_MATLAB,42,423
BAD_MATLAB,43,421
BAD_MATLAB,44,420
BAD_MATLAB,45,425
BAD_MATLAB,46,421
BAD_MATLAB,47,422
BAD_MATLAB,48,423
BAD_MATLAB,49,422
BAD_MATLAB,50,427
BAD_MATLAB,51,421
BAD_MATLAB,52,424
BAD_MATLAB,53,425
BAD_MATLAB,54,424
BAD_MATLAB,55,424
BAD_MATLAB,56,417
BAD_MATLAB,57,414
BAD_MATLAB,58,423
BAD_MATLAB,59,426
BAD_MATLAB,60,423
BAD_MATLAB,61,425
BAD_MATLAB,62,428
BAD_MATLAB,63,422
BAD_MATLAB,64,419
BAD_MATLAB,65,421
BAD_MATLAB,66,422
BAD_MATLAB,67,423
BAD_MATLAB,68,421
BAD_MATLAB,69,421
BAD_MATLAB,70,425
BAD_MATLAB,71,416
BAD_MATLAB,72,426
BAD_MATLAB,73,426
BAD_MATLAB,74,425
BAD_MATLAB,75,425
BAD_MATLAB,76,425
BAD_MATLAB,77,427
BAD_MATLAB,78,425
BAD_MATLAB,79,421
BAD_MATLAB,80,419
BAD_MATLAB,81,424
BAD_MATLAB,82,420
BAD_MATLAB,83,426
BAD_MATLAB,84,427
BAD_MATLAB,85,426
BAD_MATLAB,86,424
BAD_MATLAB,87,428
BAD_MATLAB,88,424
BAD_MATLAB,89,424
BAD_MATLAB,90,424
BAD_MATLAB,91,426
BAD_MATLAB,92,424
BAD_MATLAB,93,424
BAD_MATLAB,94,420
BAD_MATLAB,95,425
BAD_MATLAB,96,422
BAD_MATLAB,97,422
BAD_MATLAB,98,424
BAD_MATLAB,99,421
BAD_MATLAB,100,421
C,1,8679
C,2,8866
C,3,8871
C,4,8871
C,5,8792
C,6,8801
C,7,8773
C,8,8865
C,9,8852
C,10,8863
C,11,8852
C,12,8837
C,13,8856
C,14,8864
C,15,8856
C,16,8871
C,17,8869
C,18,8857
C,19,8859
C,20,8871
C,21,9294
C,22,9301
C,23,9296
C,24,8868
C,25,9295
C,26,9297
C,27,9299
C,28,9299
C,29,8876
C,30,9296
C,31,9301
C,32,9294
C,33,9294
C,34,9294
C,35,8864
C,36,9299
C,37,8177
C,38,8868
C,39,9299
C,40,9299
C,41,9299
C,42,9294
C,43,9301
C,44,8874
C,45,9298
C,46,9296
C,47,9295
C,48,8868
C,49,8793
C,50,8836
C,51,8839
C,52,8834
C,53,9305
C,54,9301
C,55,8874
C,56,8866
C,57,8875
C,58,8858
C,59,9294
C,60,8867
C,61,8865
C,62,8859
C,63,8861
C,64,8869
C,65,9294
C,66,8837
C,67,8857
C,68,8866
C,69,9296
C,70,9306
C,71,9299
C,72,8860
C,73,8832
C,74,8835
C,75,8838
C,76,8829
C,77,9306
C,78,9301
C,79,8854
C,80,9296
C,81,9297
C,82,8867
C,83,9298
C,84,8865
C,85,9317
C,86,9294
C,87,8853
C,88,8868
C,89,8875
C,90,9317
C,91,9308
C,92,9298
C,93,9294
C,94,9297
C,95,8873
C,96,8843
C,97,9303
C,98,8874
C,99,8871
C,100,8868
C++,1,7645
C++,2,7654
C++,3,7541
C++,4,7643
C++,5,7653
C++,6,7645
C++,7,7623
C++,8,7617
C++,9,7640
C++,10,7655
C++,11,7609
C++,12,7643
C++,13,7662
C++,14,7664
C++,15,7668
C++,16,7664
C++,17,7641
C++,18,7624
C++,19,7637
C++,20,7674
C++,21,7692
C++,22,7672
C++,23,7668
C++,24,7664
C++,25,7664
C++,26,7663
C++,27,7663
C++,28,7663
C++,29,7672
C++,30,7681
C++,31,7673
C++,32,7693
C++,33,7686
C++,34,7689
C++,35,7686
C++,36,7692
C++,37,7701
C++,38,7688
C++,39,7692
C++,40,7692
C++,41,7690
C++,42,7696
C++,43,7709
C++,44,7696
C++,45,7699
C++,46,7682
C++,47,7678
C++,48,7696
C++,49,7714
C++,50,7690
C++,51,7688
C++,52,7694
C++,53,7706
C++,54,7673
C++,55,7648
C++,56,7632
C++,57,7687
C++,58,7692
C++,59,7671
C++,60,7673
C++,61,7690
C++,62,7692
C++,63,7651
C++,64,7617
C++,65,7648
C++,66,7663
C++,67,7671
C++,68,7673
C++,69,7666
C++,70,7676
C++,71,7674
C++,72,7684
C++,73,7684
C++,74,7657
C++,75,7616
C++,76,7647
C++,77,7666
C++,78,7670
C++,79,7654
C++,80,7715
C++,81,7700
C++,82,7687
C++,83,7682
C++,84,7683
C++,85,7689
C++,86,7680
C++,87,7683
C++,88,7683
C++,89,7683
C++,90,7684
C++,91,7686
C++,92,7679
C++,93,7685
C++,94,7683
C++,95,7682
C++,96,7704
C++,97,7716
C++,98,7720
C++,99,7691
C++,100,7717
Java,1,6763
Java,2,6970
Java,3,7018
Java,4,7026
Java,5,7039
Java,6,7035
Java,7,7012
Java,8,6999
Java,9,7018
Java,10,7023
Java,11,7045
Java,12,7047
Java,13,7047
Java,14,7037
Java,15,7013
Java,16,6998
Java,17,7035
Java,18,7040
Java,19,7048
Java,20,7043
Java,21,7055
Java,22,7050
Java,23,7033
Java,24,7030
Java,25,7037
Java,26,7020
Java,27,7051
Java,28,7055
Java,29,7042
Java,30,7040
Java,31,7048
Java,32,7026
Java,33,7030
Java,34,6993
Java,35,7044
Java,36,7054
Java,37,7054
Java,38,7051
Java,39,7055
Java,40,7053
Java,41,7058
Java,42,7058
Java,43,7042
Java,44,7027
Java,45,7018
Java,46,7035
Java,47,7035
Java,48,7025
Java,49,7022
Java,50,7039
Java,51,7033
Java,52,7028
Java,53,7011
Java,54,7016
Java,55,7014
Java,56,7013
Java,57,7029
Java,58,7040
Java,59,7034
Java,60,7027
Java,61,6986
Java,62,6994
Java,63,6999
Java,64,6988
Java,65,7041
Java,66,7046
Java,67,7019
Java,68,7010
Java,69,7024
Java,70,7033
Java,71,7049
Java,72,7046
Java,73,7029
Java,74,7019
Java,75,7014
Java,76,7030
Java,77,7032
Java,78,7029
Java,79,7037
Java,80,7031
Java,81,7019
Java,82,7018
Java,83,7022
Java,84,7016
Java,85,7015
Java,86,7018
Java,87,7013
Java,88,7021
Java,89,7019
Java,90,7031
Java,91,7002
Java,92,7020
Java,93,7021
Java,94,7022
Java,95,7027
Java,96,6985
Java,97,7013
Java,98,7011
Java,99,7021
Java,100,7048
JavaScript,1,4062
JavaScript,2,4044
JavaScript,3,4062
JavaScript,4,4066
JavaScript,5,4062
JavaScript,6,4084
JavaScript,7,4086
JavaScript,8,4089
JavaScript,9,4083
JavaScript,10,4086
JavaScript,11,4084
JavaScript,12,4089
JavaScript,13,4088
